A201;Carolina Marcelino;BCC1;ICP011;Tóp. Esp. em Ciência de Dados I;7;PREENCHER MANUALMENTE;PREENCHER MANUALMENTE
F2010/012;Jonice de Oliveira;BCC1;ICP249;Tecnologia e Sociedade;4;QUI;13:00-15:00
F2010/012;Juliana França;CMT1;ICP102;Trabalhando com Grandes Volumes de Dados;10;;
F2010/012;Maria Helena Jardim;BCC1;ICP365;Otimização;6;TER;10:00-12:00
F2010/012;Mitre Dourado;BCC1;ICP123;Linguagens Formais;5;SEG;13:00-15:00
F2010/012;Mitre Dourado;BCC1;ICP123;Linguagens Formais;5;QUA;13:00-15:00
F2010/012;Vinícius Gusmão;BCC1;ICP141;Programação de Computadores II;2;SEX;08:00-10:00
F2010/012;Vinícius Gusmão;BCC2;ICP350;Modelagem e Avaliação de Desempenho;5;SEG;10:00-12:00
F3014;Adriana Vivacqua;BCC1;ICP131;Programação de Computadores I;1;QUA;10:00-12:00
F3014;Carla Delgado;BCC1;ICP472;Metodologia da Pesquisa;7;SEX;10:00-12:00
F3014;Claudson Bornstein;BCC1-CMT1-ASD1;ICP116;Estrutura de Dados;3;TER;13:00-15:00
F3014;João Paixão;BCC1;ICP136;Introdução ao Pensamento Dedutivo;1;SEG;08:00-10:00
F3014;João Paixão;BCC1;ICP136;Introdução ao Pensamento Dedutivo;1;QUA;08:00-10:00
F3014;Maria Luiza Campos;BCC1;ICP135;Projeto de Carreira;1;SEG;13:00-15:00
F3014;Maria Luiza Campos;BCC1;ICP135;Projeto de Carreira;1;QUA;13:00-15:00
F3014;Severino Collier;BCC1;ICP134;Números Inteiros e Criptografia;1;TER;08:00-10:00
F3014;Severino Collier;BCC1;ICP134;Números Inteiros e Criptografia;1;QUI;08:00-10:00
F3014;Eldânae Teixeira;BCC1;ICP132;Processo de Software;1;QUI;13:00-15:00
F3014;Evandro Macedo;BCC1;ICP133;Fundamentos de Sistemas de Computação;1;TER;10:00-12:00
F3014;Evandro Macedo;BCC1;ICP133;Fundamentos de Sistemas de Computação;1;QUI;10:00-12:00
