PNC_A611#30.0
PNC_A633#22.0
PNC_D214#1.0
PNC_D217#35.0
PNC_D218#1.0
PNC_D219#35.0
PNC_E131#30.0
PNC_E216#30.0
PNC_E217#30.0
PNC_F1014 (LSD)#50.0
PNC_F2002/004#40.0
PNC_F2006/008#41.0
PNC_F2022/024#42.0
PNC_F2026/028#12.0
PNC_F2030/032#17.0
PNC_F2037/039#30.0
PNC_F3002#30.0
PNC_F3009#30.0
PNC_F3012#30.0
PNC_F3014#630.0
PNC_F3015#20.0
